POS	lemma	word
NNP	ARISTOTLE	ARISTOTLE
NNP	S	S
NN	history	HISTORY
IN	of	OF
NNS	animal	ANIMALS
IN	in	IN
CD	ten	TEN
NNS	book	BOOKS
VBN	translate	TRANSLATED
IN	by	BY
NNP	RICHARD	RICHARD
NNP	CRESSWELL	CRESSWELL
NN	m	M
DT	a	A
JJ	st	ST
NNP	JOHN	JOHN
NNP	S	S
NNP	COLLEGE	COLLEGE
NNP	OXFORD	OXFORD
NNP	LONDON	LONDON
NNP	GEORGE	GEORGE
NNP	BELL	BELL
NN	amp	amp
NNP	SONS	SONS
NNP	YORK	YORK
NNP	STREET	STREET
JJ	covent	COVENT
NN	garden	GARDEN
CD	1878	1878
NNP	EONDON	EONDON
VBN	print	PRINTED
IN	by	BY
NNP	WILLIAM	WILLIAM
NNP	CLOWES	CLOWES
CC	and	AND
NNP	SONS	SONS
NNP	STAMFOilU	STAMFOilU
NNP	STKEET	STKEET
CC	and	AND
NNP	CHARING	CHARING
NNP	CKOSS	CKOSS
NN	preface	PREFACE
DT	the	THE
VBG	follow	following
NN	translation	Translation
IN	of	of
NNP	Aristotle	Aristotle
NNP	s	s
NN	history	History
IN	of	of
NNP	Ani	Ani
NNP	mals	mals
VBZ	have	has
VBN	be	been
VBN	make	made
IN	from	from
DT	the	the
NN	text	text
IN	of	of
NN	schneider	Schneider
IN	in	In
DT	a	a
NN	work	work
IN	of	of
JJ	considerable	considerable
NN	difficulty	difficulty
PRP	it	it
VBZ	be	is
RB	hardly	hardly
JJ	possible	possible
RB	entirely	entirely
TO	to	to
VB	avoid	avoid
NNS	error	errors
CC	but	but
PRP	it	it
VBZ	be	is
VBN	hope	hoped
IN	that	that
DT	those	those
WDT	which	which
VBP	have	have
VBN	escape	escaped
VBP	be	are
DT	neither	neither
JJ	numerous	numerous
CC	nor	nor
JJ	important	important
DT	the	The
NNS	note	notes
IN	of	of
NN	schneider	Schneider
VBP	have	have
VBN	be	been
VBN	consult	consulted
IN	throughout	throughout
CC	and	and
IN	in	in
NNS	place	places
IN	of	of
NN	difficulty	difficulty
DT	the	the
NNP	English	English
NN	translation	translation
IN	by	by
NNP	Taylor	Taylor
DT	the	the
NNP	French	French
IN	of	of
NNP	Camus	Camus
CC	and	and
DT	the	the
NN	g	G
NNP	erman	erman
IN	of	of
NNP	Strack	Strack
VBP	have	have
VBN	be	been
RB	severally	severally
VBN	refer	referred
TO	to	to
DT	the	The
NN	work	work
PRP	itself	itself
VBZ	be	is
DT	the	the
RBS	most	most
JJ	ancient	ancient
CC	and	and
JJ	celebrated	celebrated
NN	contri	contri
NN	bution	bution
TO	to	to
NN	science	science
WDT	which	which
VBZ	have	has
VBN	come	come
RP	down	down
TO	to	to
PRP	we	us
CC	and	and
PRP	it	it
VBZ	be	is
RB	hardly	hardly
JJ	possible	possible
WRB	when	when
PRP	we	we
VBP	consider	consider
DT	the	the
NNS	means	means
IN	of	of
NN	observation	observation
WDT	which	which
VBD	be	were
JJ	accessible	accessible
IN	at	at
DT	the	the
NN	time	time
TO	to	to
VB	imagine	imagine
DT	a	a
NN	work	work
IN	of	of
JJR	more	more
JJ	accurate	accurate
NN	observation	observation
IN	erom	Erom
DT	the	the
JJ	numerous	numerous
NNS	quotation	quotations
IN	in	in
WDT	which	which
PRP$	we	our
NN	author	author
NNS	avail	avails
PRP	himself	himself
IN	of	of
DT	the	the
NN	experience	experience
IN	of	of
NNP	hia	hia
NNS	predecessor	predecessors
IN	in	in
DT	the	the
JJ	same	same
NN	field	field
RB	as	as
RB	well	well
IN	as	as
VBZ	correct	corrects
PRP$	they	their
NNS	error	errors
RB	there	there
MD	can	can
VB	be	be
DT	no	no
NN	doubt	doubt
WDT	that	that
NNP	Aristotle	Aristotle
VBD	have	had
DT	the	the
NN	advantage	advantage
IN	of	of
JJ	many	many
NNS	work	works
WDT	which	which
VBP	have	have
VBN	perish	perished
IN	in	in
DT	the	the
NN	lapse	lapse
IN	of	of
NNS	age	ages
IN	in	In
DT	the	the
NN	appendix	Appendix
TO	to	to
DT	the	the
JJ	present	present
NN	translation	Translation
MD	will	will
VB	be	be
VBN	find	found
DT	the	the
NN	essay	Essay
IN	of	of
NN	schneider	Schneider
IN	on	on
DT	the	the
NNS	source	sources
VBP	whence	whence
NNP	Aristotle	Aristotle
VBD	derive	derived
PRP$	he	his
NN	knowledge	knowledge
IN	of	of
DT	the	the
NNS	animal	animals
PRP	he	he
VBZ	describe	describes
CC	and	and
DT	these	these
NNS	source	sources
RB	together	together
IN	with	with
PRP$	he	his
JJ	own	own
NN	accu	accu
CD	031	031
CD	7	7
CD	iv	IV
NN	peeface	PEEFACE
NN	rate	rate
NNS	observation	observations
VBP	be	are
RB	probably	probably
JJ	sufficient	sufficient
TO	to	to
VB	account	account
IN	for	for
DT	the	the
JJ	correct	correct
NN	knowledge	knowledge
IN	of	of
DT	the	the
NN	history	history
IN	of	of
NNS	animal	animals
VBD	display	displayed
IN	throughout	throughout
DT	the	the
NN	work	work
PRP	it	It
VBZ	be	is
JJ	right	right
RB	perhaps	perhaps
TO	to	to
VB	observe	observe
IN	in	in
DT	this	this
NN	place	place
WDT	that	that
NN	dr	Dr
NNP	Smith	Smith
IN	in	in
PRP$	he	his
NN	dictionary	Dictionary
IN	of	of
NN	biography	Biography
VBZ	speak	speaks
IN	of	of
DT	the	the
PRP$	he	His
NNP	tory	tory
IN	of	of
NNPS	Animals	Animals
IN	as	as
RB	partly	partly
DT	the	the
NN	result	result
IN	of	of
DT	the	the
NNP	royal	royal
NN	liberality	liberality
IN	of	of
NNP	Alexander	Alexander
CC	and	and
NNP	doubtless	doubtless
NNP	Aristotle	Aristotle
MD	would	would
RB	gladly	gladly
VB	have	have
VBN	introduce	introduced
IN	into	into
PRP$	he	his
NN	work	work
DT	any	any
JJ	fresh	fresh
NNS	material	materials
WDT	which	which
MD	might	might
VB	have	have
VBN	be	been
VBN	make	made
JJ	available	available
TO	to	to
PRP	he	him
RB	either	either
IN	during	during
PRP$	he	his
NN	residence	residence
IN	at	at
DT	the	the
JJ	macedonian	Macedonian
NN	court	court
CC	or	or
IN	by	by
DT	the	the
JJ	subsequent	subsequent
NNS	victory	victories
IN	of	of
NNP	Alexander	Alexander
IN	in	in
DT	the	the
NNP	East	East
IN	if	if
DT	the	the
NN	information	information
IN	so	so
VBN	obtain	obtained
VBD	have	had
VBN	reach	reached
NNP	Athens	Athens
IN	in	in
JJ	sufficient	sufficient
NN	time	time
TO	to	to
VB	be	be
VBN	incorporate	incorporated
CC	but	But
IN	in	in
DT	the	the
JJ	first	first
NN	instance	instance
PRP	he	he
MD	would	would
RB	naturally	naturally
VB	use	use
DT	the	the
NN	mate	mate
NNS	rial	rials
JJ	ready	ready
TO	to	to
PRP$	he	his
NN	hand	hand
IN	in	in
DT	the	the
NNS	work	works
IN	of	of
PRP$	he	his
NNS	predecessor	predecessors
CC	and	and
DT	these	these
VBD	be	were
RB	not	not
JJ	few	few
DT	the	The
NNS	animal	animals
RB	also	also
WDT	which	which
PRP	he	he
IN	de	de
NNS	scribe	scribes
VBP	be	are
RB	principally	principally
DT	those	those
IN	of	of
NNP	Greece	Greece
CC	and	and
IN	of	of
DT	the	the
NNS	country	countries
IN	with	with
WDT	which	which
DT	the	the
JJ	enterprising	enterprising
NNS	greek	Greeks
VBD	have	had
JJ	frequent	frequent
CC	and	and
NN	com	com
JJ	mercial	mercial
NN	intercourse	intercourse
PRP	he	He
VBZ	say	says
JJ	little	little
IN	of	of
DT	the	the
NNS	animal	animals
IN	of	of
DT	the	the
NN	interior	interior
IN	of	of
NNP	Asia	Asia
CC	and	and
IN	of	of
NNP	India	India
CC	and	and
VBZ	speak	speaks
RB	very	very
RB	cautiously	cautiously
IN	of	of
JJ	such	such
IN	as	as
PRP	he	he
VBZ	do	does
VB	mention	mention
CC	and	and
CD	one	one
WP	who	who
VBZ	quote	quotes
PRP$	he	his
NNS	authority	authorities
RB	so	so
RB	freely	freely
MD	would	would
RB	hardly	hardly
VB	have	have
VBN	fail	failed
TO	to	to
VB	notice	notice
DT	the	the
NNS	source	sources
IN	of	of
PRP$	he	his
NN	information	information
DT	the	The
NN	study	study
CC	or	or
IN	at	at
JJS	least	least
DT	the	the
NN	knowledge	knowledge
IN	of	of
DT	the	the
NN	classification	classification
IN	of	of
NNS	animal	animals
VBZ	appear	appears
TO	to	to
VB	have	have
VBN	be	been
RB	carefully	carefully
VBN	pursue	pursued
IN	in	in
DT	the	the
JJS	earliest	earliest
NN	period	period
IN	of	of
NN	man	man
NNS	s	s
NN	history	history
DT	the	The
JJS	oldest	oldest
NNS	record	records
IN	that	that
PRP	we	we
VBP	possess	possess
VBP	contain	contain
JJ	abundant	abundant
NNS	notice	notices
IN	of	of
DT	the	the
NNS	peculiarity	peculiarities
IN	of	of
NNS	animal	animals
DT	the	The
JJ	mosaic	Mosaic
NN	law	law
VBZ	abound	abounds
IN	in	in
PRP	they	them
IN	in	in
PRP$	its	its
NN	distinc	distinc
NNS	tion	tions
IN	between	between
DT	the	the
JJ	clean	clean
CC	and	and
DT	the	the
JJ	unclean	unclean
DT	a	a
NN	distinction	distinction
RB	not	not
RB	then	then
JJ	first	first
VBN	establish	established
CC	but	but
IN	of	of
DT	the	the
RBS	most	most
JJ	remote	remote
NN	antiquity	antiquity
RB	indeed	Indeed
PRP	it	it
MD	could	could
RB	hardly	hardly
VB	be	be
RB	otherwise	otherwise
IN	than	than
DT	that	that
NNS	man	men
VBD	engage	engaged
IN	in	in
DT	the	the
NNS	pursuit	pursuits
IN	of	of
NN	agriculture	agriculture
CC	and	and
DT	the	the
NNP	chase	chase
MD	should	should
VB	study	study
DT	the	the
NNS	habit	habits
IN	of	of
DT	the	the
NNS	animal	animals
WDT	that	that
VBD	be	were
JJ	valuable	valuable
TO	to	to
PRP	they	them
RB	as	as
RB	well	well
IN	as	as
DT	those	those
WDT	which	which
VBD	be	were
JJ	injurious	injurious
DT	a	A
NN	study	study
RB	thus	thus
VBD	commence	commenced
NN	pkeface	PKEFACE
NN	v	V
IN	by	by
NN	necessity	necessity
MD	would	would
RB	eventually	eventually
VB	be	be
VBN	pursue	pursued
IN	for	for
PRP$	its	its
JJ	own	own
NN	sake	sake
CC	and	and
RB	not	not
DT	a	a
JJ	few	few
MD	would	would
VB	be	be
VBN	find	found
WP	who	who
MD	would	would
VB	investigate	investigate
CC	and	and
IN	as	as
RB	far	far
IN	as	as
PRP	they	they
MD	could	could
VB	record	record
DT	the	the
JJ	various	various
NNS	phenomenon	phenomena
PRP	they	they
VBD	observe	observed
DT	the	The
NNS	painting	paintings
IN	of	of
NNP	Egypt	Egypt
CC	and	and
DT	the	the
NNS	sculpture	sculptures
IN	of	of
NNP	Assyria	Assyria
VBP	be	are
PRP$	we	our
NNS	witness	witnesses
IN	of	of
DT	the	the
NN	skill	skill
IN	with	with
WDT	which	which
NNS	animal	animals
CC	and	and
NNS	plant	plants
VBD	be	were
VBN	draw	drawn
CC	and	and
IN	of	of
DT	the	the
NN	minute	minute
NN	perception	perception
IN	of	of
PRP$	they	their
JJ	external	external
NNS	form	forms
CC	and	and
DT	the	the
NN	knowledge	knowledge
RB	thus	thus
VBN	gain	gained
IN	in	in
DT	the	the
JJ	ancient	ancient
NNS	centre	centres
IN	of	of
NN	civilization	civilization
MD	would	would
VB	be	be
JJ	sure	sure
TO	to	to
VB	circulate	circulate
CC	and	and
VB	increase	increase
WRB	when	when
DT	the	the
NN	intercourse	intercourse
IN	with	with
JJ	foreign	foreign
NNS	nation	nations
VBD	spread	spread
DT	the	the
NN	knowledge	knowledge
CC	and	and
NN	philosophy	philosophy
RB	so	so
VBN	acquire	acquired
IN	in	In
DT	the	the
NNS	writings	writings
IN	of	of
NN	homer	Homer
PRP	we	we
VBP	find	find
IN	that	that
DT	the	the
NN	knowledge	knowledge
IN	of	of
DT	the	the
NN	anatomy	anatomy
IN	of	of
DT	the	the
JJ	human	human
NN	body	body
VBD	have	had
RB	already	already
VBN	make	made
NN	consi	consi
JJ	derable	derable
NN	progress	progress
CC	and	and
DT	the	the
NN	inspection	inspection
IN	of	of
DT	the	the
NNS	animal	animals
VBN	offer	offered
IN	in	in
NN	sacrifice	sacrifice
MD	can	can
RB	not	not
VB	fail	fail
TO	to	to
VB	have	have
VBN	add	added
RB	much	much
TO	to	to
DT	the	the
JJ	general	general
NN	knowledge	knowledge
IN	of	of
PRP$	they	their
NN	history	history
DT	a	A
NN	century	century
RB	later	later
PRP	we	we
VBP	have	have
DT	the	the
NNS	poem	poems
IN	of	of
NN	hesiod	Hesiod
VBN	devote	devoted
TO	to	to
DT	the	the
NN	encouragement	encouragement
IN	of	of
NNP	agricul	agricul
NN	ture	ture
CC	and	and
JJ	rural	rural
NNS	pursuit	pursuits
NNP	Pythagoras	Pythagoras
IN	in	in
DT	the	the
JJ	seventh	seventh
NN	cen	cen
NN	tury	tury
NN	b	B
NN	c	C
MD	may	may
RB	perhaps	perhaps
VB	have	have
VBN	leave	left
DT	no	no
NNS	writings	writings
CC	but	but
PRP	we	we
VBP	know	know
IN	that	that
PRP	he	he
VBD	be	was
DT	a	an
JJ	eminent	eminent
NN	student	student
CC	and	and
NN	exponent	exponent
IN	of	of
JJ	natural	natural
NNS	phenomenon	phenomena
PRP$	he	His
JJ	contemporary	contemporary
NN	alcmseon	Alcmseon
IN	of	of
NNP	Crotona	Crotona
VBZ	be	is
RB	especially	especially
VBN	mention	mentioned
IN	by	by
NNP	Aristotle	Aristotle
CC	and	and
PRP	he	he
VBZ	be	is
JJ	eminent	eminent
IN	among	among
JJ	natural	natural
NNS	philosopher	philosophers
IN	as	as
DT	the	the
NNP	first	first
WP	who	who
VBZ	be	is
VBD	say	said
TO	to	to
VB	have	have
NN	recom	recom
VBN	mend	mended
TO	to	to
PRP$	he	his
NNS	follower	followers
DT	the	the
NN	practice	practice
IN	of	of
NN	dissection	dissection
NN	empe	Empe
NNS	docle	docles
IN	of	of
NN	agrigentum	Agrigentum
VBD	leave	left
DT	a	a
NN	work	work
IN	on	on
DT	the	the
NNS	phenomenon	phenomena
IN	of	of
TO	na	na
NN	ture	ture
IN	of	of
WDT	which	which
DT	a	a
JJ	few	few
NNS	fragment	fragments
RB	still	still
VBP	remain	remain
CC	and	and
EX	there	there
VBD	be	were
RB	also	also
NNS	other	others
WP	who	who
IN	if	if
PRP	they	they
VBD	do	did
RB	not	not
VB	enter	enter
IN	into	into
DT	the	the
NNS	detail	details
IN	of	of
WP	what	what
PRP	we	we
RB	now	now
VBP	call	call
JJ	natural	natural
NN	history	history
VBN	treat	treated
RB	generally	generally
IN	of	of
DT	the	the
NN	nature	nature
IN	of	of
NNS	thing	things
CC	and	and
VBD	open	opened
DT	the	the
NN	field	field
TO	to	to
DT	those	those
WP	who	who
MD	would	would
VB	study	study
DT	the	the
NN	subject	subject
IN	in	in
PRP$	its	its
JJ	particular	particular
NNS	part	parts
DT	the	The
NN	empire	empire
IN	of	of
NNP	Persia	Persia
VBD	be	was
RB	still	still
DT	the	the
JJ	dominant	dominant
NN	power	power
CC	and	and
VBD	be	was
VBG	carry	carrying
DT	the	the
NN	civilization	civilization
IN	of	of
DT	the	the
NNP	East	East
TO	to	to
DT	every	every
NN	part	part
IN	of	of
DT	the	the
JJ	known	known
NN	world	world
WRB	when	when
NNP	Ctesias	Ctesias
VBD	write	wrote
PRP$	he	his
JJ	great	great
NNS	work	works
IN	of	of
WDT	which	which
NNP	un	un
RB	happily	happily
RB	only	only
DT	a	a
JJ	few	few
NNS	fragment	fragments
VBP	remain	remain
PRP	he	He
VBD	describe	described
RB	not	not
NNP	VI	VI
NN	preface	PREFACE
RB	only	only
DT	the	the
NN	history	history
IN	of	of
PRP$	he	his
JJ	own	own
NN	time	time
CC	but	but
RB	also	also
DT	the	the
JJ	natural	natural
NN	history	history
IN	of	of
NNP	Persia	Persia
CC	and	and
IN	of	of
NNP	India	India
CC	and	and
IN	that	that
RB	probably	probably
IN	with	with
JJR	more	more
NN	accu	accu
JJ	racy	racy
IN	than	than
VBZ	have	has
VBN	be	been
RB	usually	usually
VBN	attribute	attributed
TO	to	to
PRP	he	him
NNP	India	India
PRP	he	he
VBD	have	had
RB	not	not
VBN	visit	visited
RB	personally	personally
IN	so	so
IN	that	that
PRP	he	he
MD	could	could
RB	only	only
VB	describe	describe
PRP	it	it
IN	from	from
DT	the	the
NN	information	information
IN	of	of
NNS	other	others
CC	but	but
DT	this	this
VBZ	imply	implies
IN	that	that
PRP	he	he
VBD	be	was
RB	not	not
RB	alone	alone
IN	in	in
DT	the	the
NNS	study	studies
WDT	which	which
PRP	he	he
VBD	devote	devoted
TO	to	to
JJ	natural	natural
NNS	object	objects
IN	with	With
JJ	such	such
NNS	predecessor	predecessors
CC	and	and
VBN	aid	aided
IN	by	by
PRP$	he	his
JJ	own	own
JJ	acute	acute
NNS	observation	observations
PRP	we	we
VBP	need	need
RB	not	not
VB	wonder	wonder
IN	that	that
NNP	Aristotle	Aristotle
FW	pro	pro
VBD	duce	duced
DT	a	a
NN	work	work
WDT	which	which
VBZ	have	has
RB	ever	ever
VBN	be	been
VBN	admire	admired
IN	by	by
NNS	naturalist	naturalists
CC	and	and
MD	must	must
VB	continue	continue
TO	to	to
VB	rise	rise
IN	in	in
PRP$	they	their
NN	estimation	estimation
DT	the	the
JJR	longer	longer
PRP	it	it
VBZ	be	is
IN	in	in
PRP$	they	their
NNS	hand	hands
DT	the	The
NN	index	Index
TO	to	to
DT	the	the
JJ	present	present
NN	volume	volume
VBZ	have	has
VBN	be	been
VBN	form	formed
IN	on	on
DT	the	the
NN	basis	basis
IN	of	of
DT	that	that
IN	of	of
NN	schneider	Schneider
CC	and	and
JJ	considerable	considerable
