POS	lemma	word
VB	skip	Skip
TO	to	to
JJ	main	main
NN	content	content
NN	toggle	Toggle
NN	navigation	navigation
NNP	Miriam	Miriam
NNP	Posner	Posner
NNP	s	s
NNP	Blog	Blog
IN	about	About
NNP	Miriam	Miriam
NNP	CV	CV
NNS	project	Projects
WRB	how	How
VBD	do	did
PRP	they	they
VBP	make	make
IN	that	that
NNP	August	August
CD	29	29
JJ	2013february	2013February
CD	1	1
CD	2014	2014
NNP	Miriam	Miriam
NNP	Digital	Digital
NNS	humanities	Humanities
VBP	cross	Cross
VBN	post	posted
IN	on	on
NNP	UCLA	UCLA
NNP	s	s
NNP	DH	DH
NNP	Bootcamp	Bootcamp
NNP	blog	blog
VB	edit	Edit
NNP	Dot	Dot
NNP	Porter	Porter
VBD	make	made
DT	a	a
NN	zotero	Zotero
NN	collection	collection
IN	for	for
DT	this	this
NN	post	post
NNS	thanks	Thanks
VBP	dot	Dot
JJ	many	Many
NNS	student	students
VBP	tell	tell
PRP	I	me
IN	that	that
IN	in	in
NN	order	order
TO	to	to
VB	get	get
VBN	start	started
IN	with	with
NNP	digital	digital
NNS	humanities	humanities
PRP	they	they
NN	d	d
IN	like	like
TO	to	to
VB	have	have
DT	some	some
NN	idea	idea
IN	of	of
WP	what	what
PRP	they	they
MD	might	might
VB	do	do
CC	and	and
WP	what	what
JJ	technical	technical
NNS	skill	skills
PRP	they	they
MD	might	might
VB	need	need
IN	in	in
NN	order	order
TO	to	to
VB	do	do
PRP	it	it
RB	here	Here
VBZ	be	s
DT	a	a
NN	set	set
IN	of	of
NNP	digital	digital
NNS	humanities	humanities
NNS	project	projects
WDT	that	that
MD	might	might
VB	help	help
PRP	you	you
TO	to	to
VB	get	get
DT	a	a
VB	handle	handle
IN	on	on
DT	the	the
NNS	kind	kinds
IN	of	of
NNS	tool	tools
CC	and	and
NNS	technology	technologies
JJ	available	available
IN	for	for
PRP	you	you
TO	to	to
VB	use	use
PRP	I	I
VBP	have	ve
VBN	try	tried
TO	to	to
VB	include	include
DT	a	a
JJ	few	few
JJ	different	different
NNS	type	types
IN	of	of
NNS	project	projects
CC	but	but
PRP	it	it
VBZ	be	s
JJ	hard	hard
TO	to	to
VB	provide	provide
DT	a	a
RB	really	really
JJ	representative	representative
NN	list	list
IN	if	If
PRP	you	you
NN	d	d
IN	like	like
TO	to	to
VB	see	see
JJR	more	more
JJ	digital	digital
NNS	humanities	humanities
NNS	project	projects
PRP	you	you
MD	can	can
VB	find	find
NNS	directory	directories
IN	at	at
NN	art	art
NNS	humanities	humanities
JJ	net	net
CC	and	and
NNS	dhcommon	DHCommons
RB	here	Here
PRP	I	I
VBP	discuss	discuss
DT	a	a
NN	gallery	gallery
IN	of	of
JJ	primary	primary
NNS	source	sources
DT	a	a
JJ	digital	digital
JJ	scholarly	scholarly
NN	edition	edition
DT	a	a
NN	mapping	mapping
NN	project	project
DT	a	a
NN	network	network
NN	visualization	visualization
NN	computer	computer
VBN	aid	aided
NN	text	text
NN	analysis	analysis
DT	a	a
JJ	historical	historical
NN	3d	3D
NN	model	model
DT	a	a
JJ	longform	longform
NNS	media	media
JJ	rich	rich
JJ	narrative	narrative
NN	bookmark	bookmark
NN	gallery	gallery
DT	a	A
NN	gallery	Gallery
IN	of	of
JJ	primary	Primary
NNS	source	Sources
VBG	make	Making
DT	the	the
NN	history	History
IN	of	of
CD	1989	1989
NN	image	image
NN	screen	Screen
NN	shot	Shot
CD	2014	2014
NN	01	01
NN	04	04
IN	at	at
CD	8	8
CD	38	38
CD	55	55
NN	pm	PM
WDT	what	What
PRP	it	it
VBZ	be	is
DT	a	A
NN	collection	collection
IN	of	of
JJ	primary	primary
NNS	source	sources
VBN	relate	related
TO	to	to
DT	the	the
NN	fall	fall
IN	of	of
NN	communism	Communism
IN	in	in
NNP	Eastern	Eastern
NNP	Europe	Europe
VBN	accompany	accompanied
IN	by	by
NN	teaching	teaching
NNS	material	materials
CC	and	and
JJ	interpretive	interpretive
NNS	essay	essays
WDT	what	What
PRP	you	you
NN	d	d
NN	need	need
TO	to	to
VB	know	know
NNP	Omeka	Omeka
NNP	org	org
WDT	which	which
VBZ	form	forms
DT	the	the
NN	basis	basis
IN	of	of
DT	the	the
NN	site	site
CC	or	or
PRP	you	you
MD	could	could
VB	use	use
NNP	Omeka	Omeka
JJ	net	net
IN	if	if
PRP	you	you
VBP	aren	aren
NN	t	t
RB	so	so
JJ	picky	picky
IN	about	about
DT	the	the
NN	way	way
DT	the	the
NN	site	site
VBZ	look	looks
CC	and	and
VBZ	act	acts
NNP	HTML	HTML
CC	and	and
NNP	CSS	CSS
JJ	optional	optional
TO	to	to
VB	customize	customize
DT	the	the
NN	way	way
DT	the	the
NN	site	site
VBZ	look	looks
NNP	PHP	PHP
JJ	optional	optional
TO	to	to
VB	customize	customize
JJ	certain	certain
NN	site	site
NNS	function	functions
IN	like	like
DT	the	the
NN	way	way
NNS	item	items
VBP	display	display
VB	get	Get
VBN	start	started
RB	up	Up
CC	and	and
VBG	run	Running
IN	with	with
NN	omeka	Omeka
NN	net	net
RB	up	Up
CC	and	and
VBG	run	Running
IN	with	with
NNP	HTML	HTML
VBG	introduce	Introducing
NN	php	PHP
NN	bookmark	bookmark
NN	edition	edition
DT	a	A
NNP	Digital	Digital
JJ	scholarly	Scholarly
NN	edition	Edition
DT	the	The
NNP	Willa	Willa
NNP	Cather	Cather
NNP	Archive	Archive
NN	image	image
NN	screen	Screen
NN	shot	Shot
CD	2014	2014
NN	01	01
NN	04	04
IN	at	at
CD	8	8
CD	41	41
CD	10	10
NN	pm	PM
WDT	what	What
PRP	it	it
VBZ	be	is
DT	a	A
RB	carefully	carefully
VBN	edit	edited
NNP	digital	digital
NNP	archive	archive
IN	of	of
DT	the	the
NNS	writings	writings
IN	of	of
NNP	Willa	Willa
NNP	Cather	Cather
IN	along	along
IN	with	with
JJ	extensive	extensive
JJ	scholarly	scholarly
NNS	essay	essays
NN	analysis	analysis
CC	and	and
NNS	multimedia	multimedia
NNS	gallery	galleries
WDT	what	What
PRP	you	you
NN	d	d
NN	need	need
TO	to	to
VB	know	know
NNP	TEI	TEI
DT	the	the
NN	markup	markup
NN	language	language
VBN	design	designed
IN	for	for
JJ	scholarly	scholarly
NN	editing	editing
NN	xslt	XSLT
CC	or	or
DT	a	an
NN	xml	XML
NN	publication	publication
NNP	system	system
VB	get	Get
VBN	start	started
NN	tei	TEI
IN	by	by
NN	example	Example
NN	bookmark	bookmark
NN	map	map
DT	a	A
NN	mapping	Mapping
NN	project	Project
DT	the	The
NNP	Negro	Negro
NNPS	Travelers	Travelers
NNP	Green	Green
NN	book	Book
NN	image	image
NN	screen	Screen
NN	shot	Shot
CD	2014	2014
NN	01	01
NN	04	04
IN	at	at
CD	8	8
CD	42	42
CD	35	35
NN	pm	PM
WDT	what	What
PRP	it	it
VBZ	be	is
DT	a	A
JJ	searchable	searchable
NN	map	map
IN	of	of
DT	the	the
NNS	address	addresses
VBD	contain	contained
IN	in	in
DT	the	the
CD	1956	1956
NNP	Negro	Negro
NNPS	Travelers	Travelers
NNP	Green	Green
NN	book	Book
WDT	which	which
DT	the	the
NN	user	user
MD	can	can
NN	filter	filter
IN	by	by
NN	state	state
CC	or	or
NN	establishment	establishment
NN	type	type
WDT	what	What
PRP	you	you
NN	d	d
NN	need	need
TO	to	to
VB	know	know
NNP	Google	Google
NN	fusion	Fusion
NNS	table	Tables
NNP	Google	Google
VBZ	map	Maps
DT	some	Some
NN	javascript	JavaScript
TO	to	to
VB	get	get
DT	the	the
NN	map	map
TO	to	to
VB	display	display
RB	properly	properly
NNS	alternative	Alternatives
EX	there	There
VBP	be	are
RB	almost	almost
RB	too	too
JJ	many	many
VBG	map	mapping
NNS	technology	technologies
TO	to	to
NN	list	list
CC	but	but
DT	some	some
JJ	popular	popular
NNS	tool	tools
VBP	include	include
NN	neatline	Neatline
WDT	which	which
PRP	you	you
NN	d	d
NN	use	use
RB	together	together
IN	with	with
NN	omeka	Omeka
NNS	geocommon	GeoCommons
DT	a	a
RB	relatively	relatively
JJ	simple	simple
NN	mapping	mapping
NN	application	application
CC	and	and
NN	arcgis	ArcGIS
VBN	use	used
IN	for	for
NN	complex	complex
CC	or	or
JJ	large	large
NN	scale	scale
NN	mapping	mapping
NNS	project	projects
IN	if	If
PRP	you	you
NNP	re	re
NNP	serious	serious
IN	about	about
VBG	learn	learning
TO	to	to
VB	build	build
JJ	dynamic	dynamic
NN	web	web
VBN	base	based
NNS	map	maps
PRP	you	you
NN	d	d
VB	be	be
JJ	wise	wise
TO	to	to
VB	learn	learn
DT	the	the
NN	client	client
NN	side	side
NN	language	language
NN	javascript	JavaScript
TO	to	to
VB	control	control
DT	the	the
NN	way	way
NNS	thing	things
VBP	show	show
RP	up	up
IN	on	on
NNS	browser	browsers
DT	a	a
NN	server	server
NN	side	side
NN	language	language
IN	like	like
NNP	PHP	PHP
TO	to	to
VB	interact	interact
IN	with	with
NNS	datum	data
CC	and	and
DT	the	the
NN	database	database
NN	language	language
NN	sql	SQL
TO	to	to
VB	manage	manage
PRP$	you	your
JJ	geospatial	geospatial
NNS	datum	data
RBR	more	More
NN	mapping	mapping
NNS	tool	tools
VBP	get	Get
VBN	start	started
VB	learn	Learn
WRB	how	how
TO	to	to
JJ	clean	clean
CC	and	and
NN	map	map
NNS	datum	data
VBG	use	using
NNP	Google	Google
NNS	map	Maps
CC	and	and
NNP	Google	Google
NN	fusion	Fusion
NNS	table	Tables
VBP	bookmark	bookmark
NN	network	network
DT	a	A
NN	network	Network
NN	visualization	Visualization
DT	a	A
NNP	Co	Co
NNP	Citation	Citation
NN	network	Network
IN	for	for
NN	philosophy	Philosophy
NN	image	image
VBZ	philcite	philcites
JJ	static	static
WP	what	What
PRP	it	it
VBZ	be	is
DT	a	A
NN	visualization	visualization
IN	of	of
DT	the	the
NNS	author	authors
VBN	reference	referenced
RB	together	together
IN	in	in
DT	a	a
NN	corpus	corpus
IN	of	of
NN	philosophy	philosophy
NNS	journal	journals
WDT	what	What
PRP	you	you
NN	d	d
NN	need	need
