POS	lemma	word
VB	skip	Skip
TO	to	to
JJ	main	main
NN	content	content
DT	this	This
NN	service	service
VBZ	be	is
RBR	more	more
VBN	advance	advanced
IN	with	with
NN	javascript	JavaScript
JJ	available	available
VBP	learn	learn
RBR	more	more
IN	at	at
NNP	http	http
NNP	activatejavascript	activatejavascript
NNP	org	org
NNP	SpringerLink	SpringerLink
VB	search	Search
NN	home	Home
NN	contact	Contact
PRP	we	us
VBP	log	Log
IN	in	in
NN	image	image
JJ	neural	Neural
NN	processing	Processing
NNS	letter	Letters
JJ	neural	Neural
NN	processing	Processing
NNS	letter	Letters
NNP	October	October
CD	2017	2017
NN	volume	Volume
CD	46	46
NN	issue	Issue
CD	2	2
NN	pp	pp
CD	379	379
CD	409	409
VBP	cite	Cite
IN	as	as
DT	a	A
JJ	new	New
VBG	evolve	Evolving
NN	tree	Tree
VBN	base	Based
NN	model	Model
IN	with	with
JJ	local	Local
NNP	Re	Re
NNP	learning	learning
IN	for	for
NNP	Document	Document
NN	clustering	Clustering
CC	and	and
NN	visualization	Visualization
NNS	author	Authors
NNS	author	Authors
CC	and	and
NNS	affiliation	affiliations
NNP	Wui	Wui
NNP	Lee	Lee
NNP	Chang	Chang
NNP	Kai	Kai
NNP	Meng	Meng
NNP	TayEmail	TayEmail
NN	author	author
NNP	Chee	Chee
NNP	Peng	Peng
NN	lim	Lim
NN	articlefirst	ArticleFirst
NN	online	Online
NN	06	06
NNP	February	February
CD	2017	2017
CD	242	242
NNS	download	Downloads
NN	abstract	Abstract
DT	the	The
VBG	evolve	Evolving
NN	tree	tree
NN	etree	ETree
VBZ	be	is
DT	a	a
JJ	hierarchical	hierarchical
NN	clustering	clustering
CC	and	and
NN	visualization	visualization
NN	model	model
WDT	that	that
VBZ	allow	allows
DT	the	the
NN	number	number
IN	of	of
NNS	cluster	clusters
TO	to	to
VB	grow	grow
CC	and	and
VB	evolve	evolve
IN	with	with
JJ	new	new
NNS	datum	data
NNS	sample	samples
IN	in	in
DT	a	an
JJ	online	online
NN	learning	learning
NN	manner	manner
IN	while	While
JJ	many	many
JJ	hierarchical	hierarchical
NN	clustering	clustering
NNS	model	models
VBP	be	are
JJ	available	available
IN	in	in
DT	the	the
NN	literature	literature
NN	etree	ETree
VBZ	stand	stands
RP	out	out
IN	because	because
IN	of	of
PRP$	its	its
NN	visualization	visualization
NN	capability	capability
PRP	it	It
VBZ	be	is
DT	a	an
NN	enhancement	enhancement
IN	of	of
DT	the	the
NN	self	Self
VBG	organize	Organizing
NN	map	Map
DT	a	a
JJ	famous	famous
CC	and	and
JJ	useful	useful
NN	clustering	clustering
CC	and	and
NN	visualization	visualization
NN	model	model
NN	etree	ETree
VBZ	organise	organises
DT	the	the
JJ	trained	trained
NNS	datum	data
NNS	sample	samples
IN	in	in
DT	the	the
NN	form	form
IN	of	of
DT	a	a
NN	tree	tree
NN	structure	structure
IN	for	for
JJR	better	better
NN	presentation	presentation
CC	and	and
NN	visualization	visualization
RB	especially	especially
IN	for	for
JJ	high	high
JJ	dimensional	dimensional
NNS	datum	data
NNS	sample	samples
RB	even	Even
IN	though	though
NNP	ETree	ETree
VBZ	have	has
VBN	be	been
VBN	use	used
IN	in	in
DT	a	a
NN	number	number
IN	of	of
NNS	application	applications
PRP$	its	its
NN	use	use
IN	in	in
JJ	textual	textual
NN	document	document
NN	clustering	clustering
CC	and	and
NN	visualization	visualization
VBZ	be	is
VBN	limit	limited
IN	in	In
DT	this	this
NN	paper	paper
NN	etree	ETree
VBZ	be	is
VBN	modify	modified
CC	and	and
VBN	deploy	deployed
IN	as	as
DT	a	a
JJ	useful	useful
NN	model	model
IN	for	for
VBG	undertake	undertaking
JJ	textual	textual
NNS	document	documents
NN	clustering	clustering
CC	and	and
NN	visualization	visualization
NNS	problem	problems
PRP	we	We
VBP	introduce	introduce
DT	a	a
JJ	new	new
JJ	local	local
NNP	re	re
NNP	learning	learning
NN	procedure	procedure
WDT	that	that
VBZ	allow	allows
DT	the	the
NN	tree	tree
NN	structure	structure
TO	to	to
VB	grow	grow
CC	and	and
VB	adapt	adapt
TO	to	to
JJ	new	new
NNS	feature	features
PRP	i	i
NN	e	e
JJ	new	new
NNS	word	words
IN	from	from
JJ	new	new
JJ	textual	textual
NNS	document	documents
DT	the	The
NN	performance	performance
IN	of	of
DT	the	the
VBN	propose	proposed
NN	etree	ETree
NN	model	model
VBZ	be	is
VBN	evaluate	evaluated
IN	with	with
CD	two	two
CD	one	one
NN	benchmark	benchmark
CC	and	and
CD	one	one
JJ	real	real
NN	document	document
NNS	datum	data
VBZ	set	sets
DT	a	A
NN	number	number
IN	of	of
JJ	key	key
NNS	aspect	aspects
IN	of	of
DT	the	the
VBN	propose	proposed
NNP	ETree	ETree
NN	model	model
WDT	which	which
VBP	include	include
PRP$	its	its
NN	topology	topology
NN	representation	representation
VBG	learn	learning
NN	time	time
RB	as	as
RB	well	well
IN	as	as
NN	recall	recall
CC	and	and
NN	precision	precision
NNS	rate	rates
VBP	be	are
VBN	evaluate	evaluated
DT	the	The
NNS	result	results
VBP	show	show
IN	that	that
DT	the	the
VBN	propose	proposed
JJ	local	local
NNP	re	re
NNP	learning	learning
NN	procedure	procedure
VBZ	be	is
JJ	useful	useful
IN	for	for
VBG	handle	handling
VBG	increase	increasing
NN	number	number
IN	of	of
NNS	feature	features
RB	incrementally	incrementally
IN	in	In
NN	summary	summary
DT	this	this
NN	study	study
VBZ	contribute	contributes
IN	towards	towards
DT	a	a
VBN	modify	modified
NN	etree	ETree
NN	model	model
CC	and	and
PRP$	its	its
NN	use	use
IN	in	in
DT	a	a
JJ	new	new
NN	domain	domain
PRP	i	i
NN	e	e
NN	textual	textual
NN	document	document
NN	clustering	clustering
CC	and	and
NN	visualization	visualization
NNS	keyword	Keywords
VBG	evolve	Evolving
NN	tree	tree
JJ	textual	Textual
NNS	document	documents
NN	clustering	Clustering
NN	visualization	Visualization
JJ	local	Local
NNP	re	re
NNP	learning	learning
DT	this	This
VBZ	be	is
DT	a	a
NN	preview	preview
IN	of	of
NN	subscription	subscription
NN	content	content
NN	log	log
IN	in	in
TO	to	to
VB	check	check
NN	access	access
NNS	note	Notes
NNS	acknowledgement	Acknowledgements
TO	to	To
JJ	2nd	2nd
JJ	regional	Regional
NN	engineering	Engineering
NN	conference	Conference
CD	2008	2008
NNP	EnCon	EnCon
CD	2008	2008
CC	and	and
DT	the	the
NNP	organizing	organizing
NNP	committee	committee
JJ	special	Special
NNS	thanks	thanks
TO	to	to
VB	miss	Miss
NNP	Liew	Liew
NNP	Hui	Hui
NNP	Chang	Chang
WP	who	who
VBD	have	had
VBN	help	helped
IN	during	during
NN	information	information
NNS	collection	collections
CC	and	and
NNS	compilation	compilations
DT	the	The
NNS	author	authors
VBD	have	had
DT	the	the
NN	permission	permission
TO	to	to
VB	use	use
DT	the	the
NN	collection	collection
IN	of	of
NNS	abstract	abstracts
IN	from	from
NNP	EnCon	EnCon
CD	2008	2008
IN	in	in
WDT	which	which
DT	the	the
NNS	author	authors
MD	would	would
VB	like	like
TO	to	to
VB	express	express
NN	gratitude	gratitude
IN	for	for
NN	appendix	Appendix
VBP	see	See
NNS	table	Tables
CD	7	7
CD	8	8
CD	9	9
CC	and	and
CD	10	10
NN	table	Table
CD	7	7
NN	textual	Textual
NNS	document	documents
VBN	map	mapped
IN	onto	onto
NN	n	N
NN	_	_
CD	81	81
CD	14	14
PRP	i	i
NNS	topic	Topics
VBZ	place	Places
NNS	people	People
NNS	organization	Organizations
VBP	text	Text
CD	221	221
NNP	China	China
NNP	Japan	Japan
NNP	Worldbank	Worldbank
NNP	China	China
MD	will	will
VB	receive	receive
NNS	loan	loans
VBG	total	totalling
CD	390	390
NN	mln	mln
NNS	dlr	dlrs
IN	from	from
NNP	Japan	Japan
CC	and	and
DT	the	the
NNP	World	World
NNP	Bank	Bank
IN	for	for
NN	investment	investment
IN	in	in
JJ	new	new
NNS	highway	highways
CC	and	and
JJ	port	port
NNS	facility	facilities
DT	the	The
NNP	Japan	Japan
RB	overseas	Overseas
JJ	economic	Economic
NNP	Co	Co
NN	operation	operation
NN	fund	Fund
VBZ	be	is
TO	to	to
VB	provide	provide
CD	260	260
CD	mln	mln
NNS	dlr	dlrs
IN	towards	towards
NNP	China	China
NNP	s	s
VBZ	plan	plans
TO	to	to
VB	improve	improve
PRP$	its	its
NN	road	road
NN	network	network
DT	the	the
JJ	official	official
JJ	new	New
NNP	China	China
NN	news	News
NN	agency	Agency
VBD	report	reported
DT	a	A
CD	130	130
NN	mln	mln
NN	dlr	dlr
NN	world	World
NN	bank	Bank
NN	loan	loan
MD	will	will
VB	be	be
VBN	use	used
TO	to	to
VB	build	build
CD	12	12
JJ	new	new
NNS	berth	berths
VBG	incorporate	incorporating
NN	container	container
NN	handling	handling
NNS	system	systems
IN	at	at
DT	the	the
NNP	northeast	northeast
NNP	China	China
NNP	port	port
IN	of	of
NNP	Tianjin	Tianjin
DT	the	the
NN	agency	agency
VBD	say	said
PRP	it	It
VBD	give	gave
DT	no	no
NNS	detail	details
IN	of	of
DT	the	the
NN	repayment	repayment
NNS	term	terms
IN	of	of
DT	the	the
NNS	loan	loans
NNP	REUTER	REUTER
NN	amp	amp
CD	3	3
CD	1185	1185
NNP	Usa	Usa
NNP	Norfolk	Norfolk
NNP	Southern	Southern
NNP	Corp	Corp
VBD	say	said
PRP	it	it
VBD	enter	entered
IN	into	into
DT	a	a
JJ	joint	joint
NN	venture	venture
IN	with	with
NNP	Sovran	Sovran
NNP	Financial	Financial
NNP	Corp	Corp
NN	amp	amp
NN	lt	lt
NN	sovn	SOVN
NN	gt	gt
TO	to	to
VB	build	build
DT	the	the
NNP	Sovran	Sovran
NNP	III	III
NN	building	Building
WDT	which	which
MD	will	will
VB	be	be
VBN	rename	renamed
NNP	Norfolk	Norfolk
NNP	Southern	Southern
NNP	Tower	Tower
NNP	Norfolk	Norfolk
NNP	Southern	Southern
VBD	say	said
PRP	it	it
MD	will	will
VB	locate	locate
PRP$	its	its
NN	headquarters	headquarters
IN	in	in
DT	the	the
