POS	lemma	word
NNP	Internet	Internet
NN	wiretap	Wiretap
NN	edition	Edition
IN	of	of
DT	a	A
NN	ghost	GHOST
NN	story	STORY
IN	by	by
NNP	MARK	MARK
NNP	TWAIN	TWAIN
IN	from	From
NNS	sketch	Sketches
JJ	new	New
CC	and	and
JJ	old	Old
NN	copyright	Copyright
CD	1903	1903
NNP	Samuel	Samuel
NNP	Clemens	Clemens
DT	this	This
NN	text	text
VBZ	be	is
VBN	place	placed
IN	in	in
DT	the	the
JJ	public	Public
NN	domain	Domain
MD	may	May
CD	1993	1993
DT	a	A
NN	ghost	Ghost
NN	story	Story
PRP	I	I
VBD	take	TOOK
DT	a	a
JJ	large	large
NN	room	room
RB	far	far
RB	up	up
NNP	Broadway	Broadway
IN	in	in
DT	a	a
JJ	huge	huge
JJ	old	old
NN	building	building
WP$	whose	whose
JJ	upper	upper
NNS	story	stories
VBD	have	had
VBN	be	been
RB	wholly	wholly
JJ	unoccupied	unoccupied
IN	for	for
NNS	year	years
IN	until	until
PRP	I	I
VBD	come	came
DT	the	The
NN	place	place
VBD	have	had
RB	long	long
VBN	be	been
VBN	give	given
RP	up	up
TO	to	to
NN	dust	dust
CC	and	and
NNS	cobweb	cobwebs
TO	to	to
NN	solitude	solitude
CC	and	and
NN	silence	silence
PRP	I	I
VBD	seem	seemed
VBG	grope	groping
IN	among	among
DT	the	the
NNS	tomb	tombs
CC	and	and
VBG	invade	invading
DT	the	the
NN	privacy	privacy
IN	of	of
DT	the	the
JJ	dead	dead
IN	that	that
JJ	first	first
NN	night	night
PRP	I	I
VBD	climb	climbed
IN	up	up
TO	to	to
PRP$	my	my
NNS	quarter	quarters
IN	for	For
DT	the	the
JJ	first	first
NN	time	time
IN	in	in
PRP$	my	my
NN	life	life
DT	a	a
JJ	superstitious	superstitious
NN	dread	dread
VBD	come	came
IN	over	over
PRP	I	me
CC	and	and
IN	as	as
PRP	I	I
VBD	turn	turned
DT	a	a
JJ	dark	dark
NN	angle	angle
IN	of	of
DT	the	the
NN	stairway	stairway
CC	and	and
DT	a	an
JJ	invisible	invisible
NN	cobweb	cobweb
VBD	swing	swung
PRP$	its	its
NN	slazy	slazy
NN	woof	woof
IN	in	in
PRP$	my	my
NN	face	face
CC	and	and
VBD	cling	clung
EX	there	there
PRP	I	I
VBD	shudder	shuddered
IN	as	as
CD	one	one
WP	who	who
VBD	have	had
VBN	encounter	encountered
DT	a	a
JJ	phantom	phantom
PRP	I	I
VBD	be	was
JJ	glad	glad
RB	enough	enough
WRB	when	when
PRP	I	I
VBD	reach	reached
PRP$	my	my
NN	room	room
CC	and	and
VBN	lock	locked
IN	out	out
DT	the	the
NNP	mould	mould
CC	and	and
DT	the	the
NN	darkness	darkness
DT	a	A
JJ	cheery	cheery
NN	fire	fire
VBD	be	was
VBG	burn	burning
IN	in	in
DT	the	the
NN	grate	grate
CC	and	and
PRP	I	I
VBD	sit	sat
RP	down	down
IN	before	before
PRP	it	it
IN	with	with
DT	a	a
JJ	comforting	comforting
NN	sense	sense
IN	of	of
NN	relief	relief
IN	for	For
CD	two	two
NNS	hour	hours
PRP	I	I
VBD	sit	sat
EX	there	there
VBG	think	thinking
IN	of	of
JJ	bygone	bygone
NNS	time	times
VBG	recall	recalling
JJ	old	old
NNS	scene	scenes
CC	and	and
VBG	summon	summoning
NN	half	half
VBN	forget	forgotten
VBZ	face	faces
IN	out	out
IN	of	of
DT	the	the
NNS	mist	mists
IN	of	of
DT	the	the
JJ	past	past
VBG	listen	listening
IN	in	in
JJ	fancy	fancy
TO	to	to
NNS	voice	voices
WDT	that	that
RB	long	long
RB	ago	ago
VBD	grow	grew
JJ	silent	silent
IN	for	for
DT	all	all
NN	time	time
CC	and	and
TO	to	to
RB	once	once
JJ	familiar	familiar
NNS	song	songs
IN	that	that
NN	nobody	nobody
VBZ	sing	sings
RB	now	now
CC	and	And
IN	as	as
PRP$	my	my
NN	reverie	reverie
VBD	soften	softened
RP	down	down
TO	to	to
DT	a	a
JJR	sadder	sadder
CC	and	and
JJR	sadder	sadder
NNS	pathos	pathos
DT	the	the
NN	shrieking	shrieking
IN	of	of
DT	the	the
NNS	wind	winds
IN	outside	outside
VBN	soften	softened
TO	to	to
DT	a	a
VB	wail	wail
DT	the	the
JJ	angry	angry
NN	beating	beating
IN	of	of
DT	the	the
NN	rain	rain
IN	against	against
DT	the	the
