POS	lemma	word
NNP	Internet	Internet
NN	wiretap	Wiretap
NN	edition	Edition
IN	of	of
NNP	NIAGARA	NIAGARA
IN	by	by
NNP	MARK	MARK
NNP	TWAIN	TWAIN
IN	from	From
NNS	sketch	Sketches
JJ	new	New
CC	and	and
JJ	old	Old
NN	copyright	Copyright
CD	1903	1903
NNP	Samuel	Samuel
NNP	Clemens	Clemens
DT	this	This
NN	text	text
VBZ	be	is
VBN	place	placed
IN	in	in
DT	the	the
JJ	public	Public
NN	domain	Domain
MD	may	May
CD	1993	1993
VBN	write	Written
IN	about	about
CD	1871	1871
NNP	Niagara	Niagara
NNP	NIAGARA	NIAGARA
VBZ	fall	FALLS
VBZ	be	is
DT	a	a
JJS	most	most
JJ	enjoyable	enjoyable
NN	place	place
IN	of	of
NN	resort	resort
DT	the	The
NNS	hotel	hotels
VBP	be	are
JJ	excellent	excellent
CC	and	and
DT	the	the
NNS	price	prices
RB	not	not
IN	at	at
DT	all	all
JJ	exorbitant	exorbitant
DT	the	The
NNS	opportunity	opportunities
IN	for	for
NN	fishing	fishing
VBP	be	are
RB	not	not
VBN	surpass	surpassed
IN	in	in
DT	the	the
NN	country	country
IN	in	in
NN	fact	fact
PRP	they	they
VBP	be	are
RB	not	not
RB	even	even
VBD	equal	equaled
RB	elsewhere	elsewhere
IN	because	Because
IN	in	in
JJ	other	other
NNS	locality	localities
JJ	certain	certain
NNS	place	places
IN	in	in
DT	the	the
NNS	stream	streams
VBP	be	are
RB	much	much
JJR	better	better
IN	than	than
NNS	other	others
CC	but	but
IN	at	at
NNP	Niagara	Niagara
CD	one	one
NN	place	place
VBZ	be	is
RB	just	just
RB	as	as
JJ	good	good
IN	as	as
DT	another	another
IN	for	for
DT	the	the
NN	reason	reason
IN	that	that
DT	the	the
NN	fish	fish
VBP	do	do
RB	not	not
VB	bite	bite
RB	anywhere	anywhere
CC	and	and
RB	so	so
EX	there	there
VBZ	be	is
DT	no	no
NN	use	use
IN	in	in
PRP$	you	your
VBG	walk	walking
CD	five	five
NNS	mile	miles
TO	to	to
NN	fish	fish
WRB	when	when
PRP	you	you
MD	can	can
FW	de	de
FW	pend	pend
IN	on	on
VBG	be	being
RB	just	just
IN	as	as
JJ	unsuccessful	unsuccessful
IN	nearer	nearer
NN	home	home
DT	the	The
NNS	advantage	advantages
IN	of	of
DT	this	this
NN	state	state
IN	of	of
NNS	thing	things
VBP	have	have
RB	never	never
RB	heretofore	heretofore
VBN	be	been
RB	properly	properly
VBN	place	placed
IN	before	before
DT	the	the
JJ	public	public
DT	the	The
NN	weather	weather
VBZ	be	is
JJ	cool	cool
IN	in	in
NN	summer	summer
CC	and	and
DT	the	the
VBZ	walk	walks
CC	and	and
VBZ	drive	drives
VBP	be	are
DT	all	all
JJ	pleasant	pleasant
CC	and	and
NN	none	none
IN	of	of
PRP	they	them
VBG	fatigue	fatiguing
WRB	when	When
PRP	you	you
VBP	start	start
RP	out	out
TO	to	to
VB	do	do
DT	the	the
NNP	Falls	Falls
PRP	you	you
RB	first	first
VB	drive	drive
RP	down	down
IN	about	about
DT	a	a
NN	mile	mile
CC	and	and
VB	pay	pay
DT	a	a
JJ	small	small
NN	sum	sum
IN	for	for
DT	the	the
NN	privilege	privilege
IN	of	of
VBG	look	looking
RP	down	down
IN	from	from
DT	a	a
NN	precipice	precipice
IN	into	into
DT	the	the
JJS	narrowest	narrowest
NN	part	part
IN	of	of
DT	the	the
NNP	Niagara	Niagara
NNP	river	river
DT	a	A
NN	rail	rail
NN	way	way
VBN	cut	cut
IN	through	through
DT	a	a
NN	hill	hill
MD	would	would
VB	be	be
IN	as	as
RB	comely	comely
IN	if	if
PRP	it	it
VBD	have	had
DT	the	the
JJ	angry	angry
NN	river	river
VBG	tumble	tumbling
CC	and	and
VBG	foam	foaming
IN	through	through
PRP$	its	its
NN	bottom	bottom
PRP	you	You
MD	can	can
VB	descend	descend
DT	a	a
NN	staircase	staircase
RB	here	here
DT	a	a
CD	hundred	hundred
CC	and	and
CD	fifty	fifty
NNS	foot	feet
RB	down	down
CC	and	and
VB	stand	stand
IN	at	at
DT	the	the
NN	edge	edge
IN	of	of
DT	the	the
NN	water	water
IN	after	After
PRP	you	you
VBP	have	have
VBN	do	done
PRP	it	it
PRP	you	you
MD	will	will
VB	wonder	wonder
WRB	why	why
PRP	you	you
VBD	do	did
PRP	it	it
CC	but	but
PRP	you	you
MD	will	will
RB	then	then
VB	be	be
RB	too	too
RB	late	late
DT	the	The
NN	guide	guide
MD	will	will
VB	explain	explain
TO	to	to
PRP	you	you
IN	in	in
PRP$	he	his
NN	blood	blood
NNP	curdling	curdling
NNP	way	way
WRB	how	how
PRP	he	he
VBD	see	saw
DT	the	the
JJ	little	little
NN	steamer	steamer
NN	maid	Maid
IN	of	of
DT	the	the
NNP	Mist	Mist
VBP	descend	descend
DT	the	the
JJ	fearful	fearful
NNP	rapids	rapids
WRB	how	how
JJ	first	first
CD	one	one
NN	paddle	paddle
NN	box	box
VBD	be	was
IN	out	out
IN	of	of
NN	sight	sight
IN	behind	behind
DT	the	the
JJ	raging	raging
NNS	billow	billows
CC	and	and
RB	then	then
DT	the	the
JJ	other	other
CC	and	and
IN	at	at
WDT	what	what
NN	point	point
PRP	it	it
VBD	be	was
IN	that	that
PRP$	she	her
NN	smokestack	smokestack
VBD	topple	toppled
RB	overboard	overboard
CC	and	and
WRB	where	where
PRP$	she	her
NN	planking	planking
VBD	begin	began
TO	to	to
VB	break	break
CC	and	and
NN	part	part
NN	asunder	asunder
CC	and	and
WRB	how	how
PRP	she	she
VBD	do	did
RB	finally	finally
VB	live	live
IN	through	through
DT	the	the
NN	trip	trip
IN	after	after
VBG	accomplish	accomplishing
DT	the	the
JJ	incredible	incredible
NN	feat	feat
IN	of	of
VBG	travel	traveling
CD	seven	seven
JJ	teen	teen
NNS	mile	miles
IN	in	in
CD	six	six
NNS	minute	minutes
CC	or	or
CD	six	six
NNS	mile	miles
IN	in	in
CD	seventeen	seventeen
NNS	minute	minutes
PRP	I	I
VBP	have	have
RB	really	really
VBN	forget	forgotten
WDT	which	which
CC	but	But
PRP	it	it
VBD	be	was
RB	very	very
JJ	extraordinary	extraordinary
