POS	lemma	word
DT	the	The
NN	project	Project
NNP	Gutenberg	Gutenberg
NNP	eBook	eBook
NN	pride	Pride
CC	and	and
NN	prejudice	Prejudice
IN	by	by
NNP	Jane	Jane
NNP	Austen	Austen
VBN	edit	Edited
IN	by	by
NN	r	R
NN	w	W
NNP	Robert	Robert
NNP	William	William
NNP	Chapman	Chapman
DT	this	This
NN	ebook	eBook
VBZ	be	is
IN	for	for
DT	the	the
NN	use	use
IN	of	of
NN	anyone	anyone
RB	anywhere	anywhere
IN	at	at
DT	no	no
NN	cost	cost
CC	and	and
IN	with	with
RB	almost	almost
DT	no	no
NNS	restriction	restrictions
RB	whatsoever	whatsoever
PRP	you	You
MD	may	may
VB	copy	copy
PRP	it	it
VB	give	give
PRP	it	it
RB	away	away
CC	or	or
NNP	re	re
VBP	use	use
PRP	it	it
IN	under	under
DT	the	the
NNS	term	terms
IN	of	of
DT	the	the
NN	project	Project
NNP	Gutenberg	Gutenberg
NN	license	License
VBD	include	included
IN	with	with
DT	this	this
NN	ebook	eBook
CC	or	or
NN	online	online
IN	at	at
NNP	www	www
NNP	gutenberg	gutenberg
NNP	org	org
NNP	Title	Title
NNP	Pride	Pride
CC	and	and
NN	prejudice	Prejudice
NN	author	Author
NNP	Jane	Jane
NNP	Austen	Austen
NNP	Editor	Editor
NNP	R	R
NNP	W	W
NNP	Robert	Robert
NNP	William	William
NNP	Chapman	Chapman
NNP	Release	Release
NN	date	Date
MD	may	May
CD	9	9
CD	2013	2013
NNP	eBook	eBook
CD	42671	42671
NN	language	Language
JJ	english	English
NN	start	START
IN	of	OF
DT	the	THE
NN	project	PROJECT
NNP	GUTENBERG	GUTENBERG
NNP	EBOOK	EBOOK
NN	pride	PRIDE
CC	and	AND
NN	prejudice	PREJUDICE
NN	e	E
NN	text	text
VBN	prepare	prepared
IN	by	by
NNP	Greg	Greg
NNS	week	Weeks
NNP	Jon	Jon
NNP	Hurst	Hurst
NNP	Mary	Mary
NNP	Meehan	Meehan
CC	and	and
DT	the	the
NN	online	Online
VBN	distribute	Distributed
VBG	proofread	Proofreading
NN	team	Team
NN	http	http
NN	www	www
NN	pgdp	pgdp
NN	net	net
IN	from	from
NN	page	page
NNS	image	images
RB	generously	generously
VBN	make	made
JJ	available	available
IN	by	by
NNP	Internet	Internet
NNP	Archive	Archive
NNP	https	https
NNP	archive	archive
NNP	org	org
VB	note	Note
NN	project	Project
NNP	Gutenberg	Gutenberg
RB	also	also
VBZ	have	has
DT	a	an
NNP	HTML	HTML
NN	version	version
IN	of	of
DT	this	this
NN	file	file
WDT	which	which
VBZ	include	includes
DT	the	the
JJ	original	original
NNS	illustration	illustrations
VBP	see	See
CD	42671	42671
NN	h	h
NN	htm	htm
CC	or	or
CD	42671	42671
NN	h	h
NN	zip	zip
NN	http	http
NN	www	www
NNP	gutenberg	gutenberg
NNP	org	org
VBZ	file	files
CD	42671	42671
CD	42671	42671
NN	h	h
CD	42671	42671
NN	h	h
NN	htm	htm
CC	or	or
NN	http	http
NN	www	www
NNP	gutenberg	gutenberg
NNP	org	org
VBZ	file	files
CD	42671	42671
CD	42671	42671
NN	h	h
NN	zip	zip
NNS	image	Images
IN	of	of
DT	the	the
JJ	original	original
NNS	page	pages
VBP	be	are
JJ	available	available
IN	through	through
NN	internet	Internet
